20 5
e1 e2 47.932321
e1 e3 33.979258
e1 e4 19.306253
e1 e5 14.515916
e1 e6 79.116656
e1 e7 80.634101
e1 e8 35.620682
e1 e9 3.653393
e1 e10 49.213025
e1 e11 35.133804
e1 e12 71.002658
e1 e13 80.102246
e1 e14 81.076266
e1 e15 33.489829
e1 e16 68.735797
e1 e17 69.100020
e1 e18 28.163544
e1 e19 38.890796
e1 e20 63.103915
e2 e3 36.192064
e2 e4 65.757678
e2 e5 56.347432
e2 e6 42.411640
e2 e7 32.701872
e2 e8 25.316117
e2 e9 44.666365
e2 e10 18.134927
e2 e11 66.351190
e2 e12 31.108761
e2 e13 32.358920
e2 e14 36.932646
e2 e15 15.216642
e2 e16 80.930826
e2 e17 90.437301
e2 e18 56.112379
e2 e19 38.078848
e2 e20 33.189749
e3 e4 43.065893
e3 e5 48.253915
e3 e6 49.243013
e3 e7 63.701183
e3 e8 44.723529
e3 e9 33.190751
e3 e10 24.650156
e3 e11 32.516248
e3 e12 44.117403
e3 e13 65.020578
e3 e14 56.148044
e3 e15 24.195537
e3 e16 46.358776
e3 e17 54.382417
e3 e18 58.448844
e3 e19 55.750925
e3 e20 32.438771
e4 e5 23.754605
e4 e6 91.881152
e4 e7 98.277633
e4 e8 54.890376
e4 e9 22.959137
e4 e10 63.739671
e4 e11 26.561149
e4 e12 85.288043
e4 e13 98.115949
e4 e14 96.352402
e4 e15 50.717386
e4 e16 63.867078
e4 e17 59.735930
e4 e18 40.411901
e4 e19 57.065613
e4 e20 75.186287
e5 e6 91.465547
e5 e7 88.497170
e5 e8 37.893076
e5 e9 15.153015
e5 e10 61.062902
e5 e11 46.729030
e5 e12 82.543508
e5 e13 87.319347
e5 e14 91.699559
e5 e15 43.551389
e5 e16 82.163620
e5 e17 80.999891
e5 e18 16.673476
e5 e19 36.034702
e5 e20 75.997683
e6 e7 37.410730
e6 e8 67.418460
e6 e9 76.953663
e6 e10 30.503219
e6 e11 79.603210
e6 e12 11.643197
e6 e13 41.519438
e6 e14 16.823065
e6 e15 49.048387
e6 e16 73.248927
e6 e17 88.140172
e6 e18 95.708241
e6 e19 80.394353
e6 e20 16.806891
e7 e8 53.344950
e7 e9 77.354269
e7 e10 39.260788
e7 e11 95.956378
e7 e12 28.817560
e7 e13 4.460920
e7 e14 21.238509
e7 e15 47.560672
e7 e16 102.204325
e7 e17 114.681941
e7 e18 85.946399
e7 e19 63.546653
e7 e20 42.187316
e8 e9 31.985496
e8 e10 39.462301
e8 e11 65.610004
e8 e12 56.323274
e8 e13 51.364276
e8 e14 61.927231
e8 e15 22.538136
e8 e16 90.620562
e8 e17 96.185786
e8 e18 32.621968
e8 e19 13.132690
e8 e20 56.154128
e9 e10 46.802445
e9 e11 37.614214
e9 e12 68.526509
e9 e13 76.737158
e9 e14 78.340537
e9 e15 30.471374
e9 e16 70.158303
e9 e17 71.270851
e9 e18 26.861093
e9 e19 35.616066
e9 e20 61.177921
e10 e11 57.146369
e10 e12 21.807625
e10 e13 40.929167
e10 e14 32.645443
e10 e15 18.809277
e10 e16 65.006630
e10 e17 76.159038
e10 e18 65.456872
e10 e19 52.572146
e10 e20 16.768629
e11 e12 76.069421
e11 e13 97.003360
e11 e14 88.339560
e11 e15 51.850584
e11 e16 37.345965
e11 e17 34.277738
e11 e18 62.672880
e11 e19 72.371821
e11 e20 63.109280
e12 e13 32.451003
e12 e14 12.497763
e12 e15 39.287560
e12 e16 75.395910
e12 e17 89.137161
e12 e18 85.569470
e12 e19 69.183851
e12 e20 14.602272
e13 e14 25.577052
e13 e15 47.493504
e13 e16 104.745837
e13 e17 116.843537
e13 e18 83.976440
e13 e19 60.987468
e13 e20 45.314220
e14 e15 48.160991
e14 e16 87.438635
e14 e17 101.455554
e14 e18 92.974730
e14 e19 74.131170
e14 e20 26.927730
e15 e16 70.500494
e15 e17 78.225540
e15 e18 46.691263
e15 e19 35.180817
e15 e20 35.366572
e16 e17 16.475747
e16 e18 96.874078
e16 e19 100.611934
e16 e20 60.832671
e17 e18 96.905526
e17 e19 104.680474
e17 e20 74.552770
e18 e19 25.297396
e18 e20 81.718704
e19 e20 69.280650
